Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A0,Grove,GROVE-HW4-SMD-2.0,83.000000,-54.500000,0.000000,top
A1,Grove,GROVE-HW4-SMD-2.0,83.000000,-62.500000,0.000000,top
A2,Grove,GROVE-HW4-SMD-2.0,83.000000,-70.500000,0.000000,top
BAT0,B2B-PH-SM4-TB,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,36.500000,-81.500000,0.000000,top
C1,CERAMIC-100NF-16V-10%-X7R_0402_,C_0402_1005Metric,60.500000,-87.000000,0.000000,top
C2,CERAMIC-100NF-16V-10%-X7R_0402_,C_0402_1005Metric,60.500000,-83.000000,0.000000,top
C3,SMD-Cap-Aluminium-47uF-25V-D6.3-H5.4,C_Elec_6.3x5.4,57.500000,-94.000000,-90.000000,top
D1,PMEG2010ER,Nexperia_CFP3_SOD-123W,61.600000,-45.000000,180.000000,top
D16,Grove,GROVE-HW4-SMD-2.0,38.500000,-54.500000,0.000000,top
D18,Grove,GROVE-HW4-SMD-2.0,38.500000,-62.500000,0.000000,top
D20,Grove,GROVE-HW4-SMD-2.0,38.500000,-70.500000,0.000000,top
I2C0,Grove,GROVE-HW4-SMD-2.0,83.000000,-38.500000,0.000000,top
I2C1,Grove,GROVE-HW4-SMD-2.0,83.000000,-46.500000,0.000000,top
J1,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical_SMD,50.820000,-62.230000,0.000000,top
J2,Conn_02x20_Odd_Even,PinSocket_2x20_P2.54mm_Vertical_SMD,71.100000,-62.230000,0.000000,top
MotL1,B2B-PH-SM4-TB,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,68.000000,-95.000000,0.000000,top
MotR1,B2B-PH-SM4-TB,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,83.000000,-95.000000,0.000000,top
Q1,DMG2305UX,SOT-23,35.500000,-88.000000,90.000000,top
SW1,PTS815 SJM 250 SMTR LFS,SW4_PTS815 SJM 250 SMTR LFS_CNK,84.000000,-81.500000,0.000000,top
U1,DRV8835DSSR,DSS0012A,62.750000,-85.000000,90.000000,top
UART0,Grove,GROVE-HW4-SMD-2.0,38.500000,-38.500000,0.000000,top
UART1,Grove,GROVE-HW4-SMD-2.0,38.500000,-46.500000,0.000000,top
